TVD (m);Pore pressure (s.g.);Fracture pressure (s.g.)
278.3;0.815;1.402
315.5;0.842;1.43
348.5;0.861;1.453
386.1;0.878;1.474
427.7;0.892;1.495
468.7;0.904;1.515
509.1;0.915;1.531
546.3;0.922;1.545
584.9;0.928;1.56
622.5;0.936;1.572
658.6;0.941;1.583
698.1;0.946;1.595
737.6;0.953;1.606
775.9;0.956;1.616
816.5;0.957;1.626
866.5;0.963;1.637
908.1;0.967;1.647
955.1;0.97;1.655
997.4;0.974;1.663
1053.9;0.978;1.674
1105.4;0.979;1.683
1149.4;0.982;1.692
1197;0.985;1.697
1239.8;0.985;1.704
1278.7;0.985;1.708
1321.7;0.986;1.715
1376.3;0.989;1.722
1412.8;0.99;1.727
1455.1;0.993;1.734
1499.9;0.993;1.737
1558.1;0.993;1.738
1601.8;0.994;1.738
1638.7;0.996;1.738
1675.7;0.996;1.738
1712.6;0.996;1.738
1749.6;0.998;1.738
1785.3;0.999;1.737
1813.4;0.999;1.737
1865.5;0.999;1.735
1902.4;0.999;1.735
1938.6;0.999;1.735
1979.9;1.001;1.735
2027.9;1.005;1.737
2073.8;1.005;1.741
2121.6;1.005;1.748
2180.9;1.005;1.755
2252.7;1.005;1.763
2258.5;1.005;1.729
2279.4;1.005;1.728
2287.3;1.005;1.627
2310.2;1.005;1.627
2312.6;1.005;1.77
2333.7;1.005;1.773
2371.1;1.004;1.776
2411.4;1.007;1.78
2471.9;0.981;1.788
2478.7;0.873;1.723
2521.7;0.873;1.725
2563.8;0.872;1.729
2594.6;0.886;1.732
2594.9;0.901;1.78
2604.5;1.013;1.805
2651;1.031;1.816
2693;1.035;1.824
2740.2;1.04;1.829
2797.3;1.058;1.841
2819.9;1.071;1.834
2861.2;1.108;1.849
2909.3;1.15;1.866
2949.9;1.187;1.88
2993.6;1.225;1.894
3028.1;1.274;1.917
3078.2;1.286;1.918
3105.7;1.278;1.916
3163.1;1.262;1.914
3164;1.261;1.857
3165.6;1.261;1.888
3168.5;1.103;1.818
3210.1;1.098;1.819
3252.9;1.093;1.825
3302;1.085;1.828
