MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
145.9;0;0;145.9;-0.19;-2.699;0
184.1;0.1;233.25;184.1;-0.216;-2.719;0.08
224.5;0.16;227.58;224.5;-0.286;-2.778;0.05
251;0.61;221.72;251;-0.435;-2.955;0.51
264.8;0.84;218.68;264.8;-0.512;-3.047;0.51
305.1;1.6;210.39;305.1;-0.982;-3.763;0.58
345.5;2.76;227.92;345.4;-1.988;-4.9;0.99
385.8;5.17;242.27;385.7;-4.318;-6.397;1.92
426.1;7.04;240.4;425.8;-8.075;-8.463;1.4
466.4;8.06;224.23;465.7;-12.192;-11.706;1.75
506.7;8.85;205.85;505.5;-15.511;-16.515;2.09
547;8.9;191.34;545.3;-17.476;-22.364;1.66
587.3;8.91;181.74;585.2;-18.184;-28.543;1.1
627.5;9;180.61;624.9;-18.312;-34.809;0.15
667.6;9.45;172.33;664.5;-17.907;-41.206;1.05
708;9.68;168.4;704.3;-16.783;-47.809;0.51
748.3;11.47;163.5;743.9;-14.962;-54.974;1.49
788.6;13.92;158.6;783.2;-12.056;-63.329;1.99
828.9;15.68;154.79;822.2;-7.963;-72.779;1.49
869.3;16.74;152.61;861;-2.968;-82.87;0.91
909.6;16.06;153.68;899.7;2.18;-93.032;0.55
949.9;14.95;155.21;938.5;6.836;-102.758;0.88
990.3;13.7;155.13;977.6;11.028;-111.819;0.93
1030.7;12.89;151.78;1016.9;15.168;-120.126;0.83
1071;12.15;152.1;1056.3;19.282;-127.84;0.55
1111.4;12.64;147.23;1095.7;23.66;-135.309;0.86
1151.7;15.84;143.99;1134.9;29.291;-143.48;2.45
1192.1;18.18;149.72;1173.4;35.702;-153.37;2.14
1232.4;18.49;144.76;1211.7;42.568;-164.033;1.18
1272.7;16.15;144.57;1250.2;49.507;-173.823;1.74
1313.1;15.42;145.64;1289;55.788;-182.824;0.58
1352;15.54;145.8;1326.5;61.638;-191.408;0.1
1353.4;15.54;145.81;1327.9;61.853;-191.723;0.1
1393.7;15.68;134.88;1366.8;68.749;-200.035;2.19
1434.1;16.31;123.73;1405.5;77.32;-207.025;2.33
1474.4;18.16;110.38;1444.1;87.934;-212.365;3.24
1514.8;21.78;110.07;1482;100.861;-217.124;2.69
1555.1;23.34;111.89;1519.3;115.31;-222.673;1.27
1595.5;24.6;113.51;1556.1;130.429;-229.004;1.06
1635.8;26.12;116.02;1592.6;146.113;-236.251;1.38
1676.1;25.75;111.05;1628.9;162.269;-243.293;1.64
1716.5;25.56;105.93;1665.2;178.826;-248.833;1.65
1756.8;25.59;106.13;1701.6;195.555;-253.639;0.07
1797.2;25.55;107.65;1738.1;212.239;-258.705;0.49
1837.6;25.47;106.67;1774.5;228.838;-263.83;0.32
1877.9;25.62;106.64;1810.9;245.503;-268.816;0.11
1918.3;25.57;108.44;1847.3;262.123;-274.069;0.58
1958.6;25.5;107.99;1883.7;278.648;-279.507;0.15
1999;26.11;107.77;1920;295.369;-284.901;0.46
2039.3;25.96;107.45;1956.3;312.249;-290.259;0.15
2079.7;26.64;109.21;1992.4;329.217;-295.884;0.77
2120;26.48;109.43;2028.5;346.239;-301.851;0.14
2160.4;26.41;110;2064.6;363.151;-307.911;0.2
2200.7;26.7;109.9;2100.7;380.107;-314.066;0.22
2241.1;26.47;109.31;2136.8;397.122;-320.127;0.26
2281.4;26.44;106.54;2173;414.233;-325.662;0.92
2321.8;26.41;106.65;2209.2;431.463;-330.797;0.04
2362.2;26.58;106.32;2245.3;448.724;-335.905;0.17
2402.6;26.67;106.08;2281.3;466.093;-340.951;0.1
2442.9;26.5;105.54;2317.4;483.468;-345.871;0.22
2483.3;27.05;106.3;2353.5;500.947;-350.858;0.48
2523.6;27.47;106.17;2389.3;518.7;-356.027;0.32
2564;27.4;105.47;2425.1;536.582;-361.094;0.25
2604.3;26.84;107.02;2461.1;554.241;-366.237;0.67
2644.7;27.58;113.83;2497;571.5;-372.679;2.38
2685;27.86;122.13;2532.7;588.039;-381.473;2.88
2696.4;28.19;124.71;2542.8;592.512;-384.425;3.3
2740.8;29.63;133.7;2581.6;609.062;-397.975;3.09
2761;30.6;137.55;2599;616.042;-405.442;3.21
2773.9;31.22;140.01;2610.2;620.497;-410.208;3.27
2800.7;31.75;145.84;2633;628.91;-421.35;3.46
2840.3;31.62;150.5;2666.7;639.885;-439.027;1.85
2879.9;32.11;155.23;2700.3;649.395;-457.598;1.93
2920.1;32.76;160.49;2734.3;657.51;-477.565;2.16
2959.1;34.44;162.51;2766.8;664.351;-498.037;1.55
3001.1;35.31;165.32;2801.3;671;-521.119;1.3
3041.5;36.6;171.51;2833.9;675.734;-544.311;2.87
3081.3;37.88;178.79;2865.7;677.746;-568.293;3.45
3121.8;40.87;183.49;2896.9;677.203;-593.936;3.13
3162.8;43.81;186.08;2927.3;674.879;-621.485;2.5
3203.5;46.88;187.49;2955.9;671.448;-650.242;2.38
3244.1;50.42;190.19;2982.7;666.752;-680.308;3.02
3284.8;52.56;193.1;3008;660.318;-711.467;2.3
3325.1;54.85;195.14;3031.9;652.38;-742.991;2.1
3365.1;55.23;196.13;3054.8;643.54;-774.575;0.67
3404.8;55.15;197.06;3077.5;634.228;-805.82;0.58
3444.8;54.88;199.93;3100.4;623.846;-836.864;1.78
3485;54.67;202.72;3123.6;611.906;-867.45;1.71
3508;54.67;202.72;3136.9;604.653;-884.773;0
